ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
2FA0F717FE44CBFC,electric_bike,54:17.2,16:33.4,Dusable Harbor,KA1503000064,Racine Ave & Belmont Ave,TA1308000019,41.88687527,-87.61284185,41.939743,-87.658865,member
91CA4C9E6F9244F8,electric_bike,29:44.5,32:33.3,Woodlawn Ave & 58th St,22002,Woodlawn Ave & 55th St,TA1307000164,41.789381,-87.596479,41.795264,-87.596471,member
75C473A31E8826EE,electric_bike,50:31.9,58:32.4,New St & Illinois St,TA1306000013,Milwaukee Ave & Grand Ave,13033,41.89084704,-87.61861682,41.891578,-87.648384,member
6AA10BF0999EFE93,electric_bike,55:50.2,03:22.8,New St & Illinois St,TA1306000013,Milwaukee Ave & Grand Ave,13033,41.89084704,-87.61861682,41.891578,-87.648384,member
6635BF7D26E33A91,electric_bike,09:36.1,12:20.8,Clifton Ave & Armitage Ave,TA1307000163,Racine Ave & Fullerton Ave,TA1306000026,41.918216,-87.656936,41.925566,-87.658416,member
A603CF3D12237FB8,classic_bike,17:52.0,29:19.4,Western Ave & Winnebago Ave,13068,Artesian Ave & Hubbard St,15664,41.91552,-87.687022,41.8895,-87.688257,member
D1F20AD76F5D2A13,classic_bike,21:01.3,34:40.5,Western Ave & Winnebago Ave,13068,Artesian Ave & Hubbard St,15664,41.91552,-87.687022,41.8895,-87.688257,member
6D4CE41139A77CD5,classic_bike,20:58.9,32:40.9,Western Ave & Winnebago Ave,13068,Artesian Ave & Hubbard St,15664,41.91552,-87.687022,41.8895,-87.688257,member
F8C41696DB2EECF8,electric_bike,31:54.2,42:22.9,Broadway & Cornelia Ave,13278,Racine Ave & Fullerton Ave,TA1306000026,41.945529,-87.646439,41.925566,-87.658416,member
C544AFB54FB96B3D,electric_bike,15:48.1,19:14.4,Ellis Ave & 58th St,TA1309000011,Woodlawn Ave & 55th St,TA1307000164,41.788746,-87.601334,41.795264,-87.596471,member
40493EA61BA93D5A,classic_bike,04:28.3,07:05.9,Clark St & Newport St,632,Sheffield Ave & Waveland Ave,TA1307000126,41.94454,-87.654678,41.949399,-87.654529,member
9C0A791AE3D9C957,classic_bike,46:09.6,51:36.7,Wabash Ave & Grand Ave,TA1307000117,Daley Center Plaza,TA1306000010,41.891466,-87.626761,41.884241,-87.629634,member
82FC46E4A8B33FC3,classic_bike,59:42.7,21:03.4,Wilton Ave & Diversey Pkwy*,chargingstx2,Michigan Ave & Pearson St,13034,41.932418,-87.652705,41.89766,-87.62351,member
34163BAD7D56481D,electric_bike,54:22.0,59:30.3,Clark St & Elm St,TA1307000039,Michigan Ave & Pearson St,13034,41.902973,-87.63128,41.89766,-87.62351,member
F9515A95F1F15C55,classic_bike,20:26.0,33:11.5,Clark St & Schiller St,TA1309000024,Daley Center Plaza,TA1306000010,41.907993,-87.631501,41.884241,-87.629634,member
AE908854A2691A89,classic_bike,14:54.8,18:57.7,Wabash Ave & Wacker Pl,TA1307000131,Daley Center Plaza,TA1306000010,41.886875,-87.62603,41.884241,-87.629634,member
A06D440C1A7C4DF8,electric_bike,46:06.3,53:47.2,Elizabeth St & Randolph St,23001,Daley Center Plaza,TA1306000010,41.884336,-87.658902,41.884241,-87.629634,member
36FFB0D7D087F41F,classic_bike,55:29.4,59:44.1,Southport Ave & Clybourn Ave,TA1309000030,Michigan Ave & Pearson St,13034,41.9215759,-87.6664335,41.89766,-87.62351,casual
EA38BB3B7F34BEE4,electric_bike,39:47.5,40:14.8,Western Ave & Fillmore St,644,Western Ave & Fillmore St,644,41.868563,-87.686234,41.868563,-87.686234,member
616584F4B6C0AFEF,electric_bike,38:02.0,38:32.2,Western Ave & Fillmore St,644,Western Ave & Fillmore St,644,41.868563,-87.686234,41.868563,-87.686234,member
AC96123562228851,electric_bike,14:59.8,33:44.3,Stockton Dr & Wrightwood Ave,13276,Daley Center Plaza,TA1306000010,41.93132,-87.638742,41.884241,-87.629634,member
D71EE11BC5A963AB,classic_bike,11:34.5,22:48.1,Sedgwick St & Schiller St,TA1307000143,Michigan Ave & Pearson St,13034,41.907626,-87.638566,41.89766,-87.62351,member
5E5E512A88BE5333,classic_bike,55:07.7,49:07.1,Dearborn Pkwy & Delaware Pl,TA1307000128,Clark St & Columbia Ave,RP-008,41.898969,-87.629912,42.00445063,-87.6724024,member
DDF68A146CABD59D,classic_bike,09:38.9,52:39.6,Dearborn Pkwy & Delaware Pl,TA1307000128,Clark St & Columbia Ave,RP-008,41.898969,-87.629912,42.00445063,-87.6724024,member
9F63DE220166E70B,electric_bike,49:11.2,55:38.8,Broadway & Belmont Ave,13277,Southport Ave & Roscoe St,13071,41.940106,-87.645451,41.943739,-87.66402,member
65C7DB3CBC7910D7,classic_bike,19:11.2,29:50.6,Wabash Ave & Wacker Pl,TA1307000131,Franklin St & Jackson Blvd,TA1305000025,41.886875,-87.62603,41.87770796,-87.63532114,member
76C35525F4186613,electric_bike,25:59.0,33:23.6,Clark St & Wellington Ave,TA1307000136,W Armitage Ave & N Sheffield Ave,20254,41.93649682,-87.64753866,41.917805,-87.653449,member
EB80B2F04A0F600D,electric_bike,16:31.4,20:28.4,Ping Tom Park (East),20260,Halsted St & 18th St,13099,41.8579886,-87.6319447,41.85750568,-87.64599144,member
8959147BA615DDD2,electric_bike,58:10.1,09:29.5,Dearborn Pkwy & Delaware Pl,TA1307000128,W Armitage Ave & N Sheffield Ave,20254,41.898969,-87.629912,41.917805,-87.653449,member
A6CC6346E70BFBE6,classic_bike,50:52.2,00:54.9,Indiana Ave & Roosevelt Rd,SL-005,Franklin St & Jackson Blvd,TA1305000025,41.867888,-87.623041,41.87770796,-87.63532114,member
DA637BD117561ED1,classic_bike,02:06.8,11:44.8,Indiana Ave & Roosevelt Rd,SL-005,Franklin St & Jackson Blvd,TA1305000025,41.867888,-87.623041,41.87770796,-87.63532114,member
56E9D9BE79879B68,classic_bike,05:36.6,15:14.6,Indiana Ave & Roosevelt Rd,SL-005,Franklin St & Jackson Blvd,TA1305000025,41.867888,-87.623041,41.87770796,-87.63532114,member
B35E12DC25F94FCA,classic_bike,35:30.2,45:07.0,Indiana Ave & Roosevelt Rd,SL-005,Franklin St & Jackson Blvd,TA1305000025,41.867888,-87.623041,41.87770796,-87.63532114,member
